player1,year,round,winner,player2,winner1,winner2,error1,error2,total1,total2
Illya Marchenko,2011,First,Illya Marchenko,Ruben Ramirez-Hidalgo,NA,NA,NA,NA,99,73
Marco Chiudinelli,2010,First,Marco Chiudinelli,Marinko Matosevic,42,51,48,49,142,134
Jan Hajek,2010,First,Jan Hajek,Robby Ginepri,NA,NA,6,6,123,102
Santiago Giraldo,2010,First,Santiago Giraldo,Tommy Robredo,NA,NA,0,12,98,69
Santiago Giraldo,2011,First,Santiago Giraldo,Rui Machado,NA,NA,NA,NA,126,99
Santiago Giraldo,2012,First,Santiago Giraldo,Matteo Viola,0,2,1,4,88,54
Taylor Dent,2004,Second,Taylor Dent,Juan Ignacio Chela,83,53,77,18,173,176
Taylor Dent,2004,First,Taylor Dent,Fernando Verdasco,22,14,19,21,71,42
Taylor Dent,2005,Second,Taylor Dent,Michal Tabara,23,25,26,39,96,71
Taylor Dent,2005,First,Taylor Dent,Florent Serra,42,22,32,19,102,83
Taylor Dent,2010,First,Taylor Dent,Fabio Fognini,27,20,26,32,81,51
Janko Tipsarevic,2005,First,Janko Tipsarevic,Daniele Bracciali,42,47,57,62,143,135
Janko Tipsarevic,2006,First,Janko Tipsarevic,Andreas Seppi,36,48,38,68,142,134
Janko Tipsarevic,2008,Second,Janko Tipsarevic,Fernando Verdasco,39,59,20,44,118,103
Janko Tipsarevic,2008,First,Janko Tipsarevic,Joseph Sirianni,48,50,53,61,162,151
Janko Tipsarevic,2009,First,Janko Tipsarevic,Oscar Hernandez,NA,NA,NA,NA,163,132
Janko Tipsarevic,2010,First,Janko Tipsarevic,Ryan Harrison,NA,NA,10,18,132,111
Janko Tipsarevic,2011,First,Janko Tipsarevic,Mischa Zverev,NA,NA,NA,NA,107,82
Janko Tipsarevic,2012,Second,Janko Tipsarevic,James Duckworth,42,45,31,53,135,115
Janko Tipsarevic,2012,First,Janko Tipsarevic,Dmitry Tursunov,28,9,4,5,146,128
Janko Tipsarevic,2013,Third,Janko Tipsarevic,Julien Benneteau,48,47,46,55,138,136
Janko Tipsarevic,2013,Second,Janko Tipsarevic,Lukas Lacko,48,57,44,61,155,156
Janko Tipsarevic,2013,First,Janko Tipsarevic,Lleyton Hewitt,47,40,38,48,128,106
Benjamin Becker,2010,First,Benjamin Becker,Grega Zemlja,NA,NA,16,6,110,105
Benjamin Becker,2011,First,Benjamin Becker,Ernests Gulbis,NA,NA,NA,NA,101,84
Benjamin Becker,2013,First,Benjamin Becker,Aljaz Bedene,16,11,7,6,142,131
Marcel Granollers,2009,First,Marcel Granollers,Teimuraz Gabashvili,NA,NA,NA,NA,130,113
Marcel Granollers,2010,First,Marcel Granollers,Robin Soderling,40,57,40,67,151,150
Marcel Granollers,2012,First,Marcel Granollers,Jesse Levine,24,7,5,3,173,148
Marcel Granollers,2013,First,Marcel Granollers,Grega Zemlja,5,7,3,4,101,82
Thomaz Bellucci,2010,First,Thomaz Bellucci,Teimuraz Gabashvili,NA,NA,12,26,161,141
Thomaz Bellucci,2011,First,Thomaz Bellucci,Ricardo Mello,NA,NA,NA,NA,174,166
Thomaz Bellucci,2012,First,Thomaz Bellucci,Dudi Sela,10,7,4,5,118,100
Thomaz Bellucci,2014,First,Thomaz Bellucci,Julian Reister,33,21,37,36,98,93
Rainer Schuettler,2005,First,Rainer Schuettler,Olivier Patience,37,28,36,50,114,87
Rainer Schuettler,2008,First,Rainer Schuettler,Arnaud Clement,30,27,37,51,140,126
Rainer Schuettler,2010,First,Rainer Schuettler,Sam Querrey,NA,NA,10,12,112,107
Marsel Ilhan,2010,First,Marsel Ilhan,Sebastien Grosjean,NA,NA,2,2,112,99
Bernard Tomic,2009,First,Bernard Tomic,Potito Starace,61,47,61,50,151,162
Bernard Tomic,2010,First,Bernard Tomic,Guillaume Rufin,18,20,30,52,94,70
Bernard Tomic,2011,Second,Bernard Tomic,Feliciano Lopez,35,47,21,40,104,90
Bernard Tomic,2011,First,Bernard Tomic,Jeremy Chardy,21,33,23,56,103,81
Bernard Tomic,2012,Third,Bernard Tomic,Alexandr Dolgopolov,41,80,61,78,174,174
Bernard Tomic,2012,Second,Bernard Tomic,Sam Querrey,30,52,29,50,125,112
Bernard Tomic,2012,First,Bernard Tomic,Fernando Verdasco,44,57,60,83,181,168
Bernard Tomic,2013,Second,Bernard Tomic,Daniel Brands,59,73,34,41,153,154
Bernard Tomic,2013,First,Bernard Tomic,Leonardo Mayer,28,18,15,22,82,52
Igor Kunitsyn,2010,First,Igor Kunitsyn,Jose Acasuso,NA,NA,4,12,126,99
Igor Kunitsyn,2011,First,Igor Kunitsyn,Michal Przysiezny,NA,NA,NA,NA,154,140
Viktor Troicki,2009,First,Viktor Troicki,Alberto Martin,NA,NA,NA,NA,110,93
Viktor Troicki,2010,First,Viktor Troicki,Nicolas Lapentti,NA,NA,6,6,128,99
Viktor Troicki,2011,Second,Viktor Troicki,Nicolas Mahut,NA,NA,NA,NA,122,112
Viktor Troicki,2011,First,Viktor Troicki,Dmitry Tursunov,NA,NA,NA,NA,116,88
Viktor Troicki,2012,First,Viktor Troicki,Juan Carlos Ferrero,27,3,3,3,170,154
Marc Gicquel,2007,First,Marc Gicquel,Alun Jones,53,45,49,60,156,127
Marc Gicquel,2008,Second,Marc Gicquel,Stanislas Wawrinka,NA,NA,NA,NA,113,106
Marc Gicquel,2008,First,Marc Gicquel,Yen-Hsun Lu,NA,NA,NA,NA,187,177
Marc Gicquel,2010,First,Marc Gicquel,Simone Bolelli,NA,NA,8,4,131,114
Jarkko Nieminen,2004,First,Jarkko Nieminen,Nicolas Massu,27,35,45,75,138,105
Jarkko Nieminen,2005,Second,Jarkko Nieminen,Paradorn Srichaphan,29,27,17,42,94,71
Jarkko Nieminen,2005,First,Jarkko Nieminen,Davide Sanguinetti,23,24,33,41,107,86
Jarkko Nieminen,2006,Second,Jarkko Nieminen,Jimmy Wang,30,28,23,53,107,72
Jarkko Nieminen,2006,First,Jarkko Nieminen,Marc Kimmich,23,24,23,30,85,59
Jarkko Nieminen,2007,First,Jarkko Nieminen,Paul Goldstein,60,52,52,51,144,135
Jarkko Nieminen,2008,Fourth,Jarkko Nieminen,Philipp Kohlschreiber,42,67,47,76,162,162
Jarkko Nieminen,2008,Third,Jarkko Nieminen,Mardy Fish,36,56,24,60,136,122
Jarkko Nieminen,2008,Second,Jarkko Nieminen,Jesse Levine,32,33,30,58,122,103
Jarkko Nieminen,2008,First,Jarkko Nieminen,Frank Dancevic,NA,NA,NA,NA,125,115
Jarkko Nieminen,2010,First,Jarkko Nieminen,Nick Lindahl,34,33,21,31,110,87
Jarkko Nieminen,2013,First,Jarkko Nieminen,Tommy Haas,66,64,69,83,182,179
Jarkko Nieminen,2014,First,Jarkko Nieminen,Dudi Sela,57,41,72,50,173,173
Louk Sorensen,2010,First,Louk Sorensen,Yen-Hsun Lu,NA,NA,4,6,115,88
Antonio Veic,2010,First,Antonio Veic,Daniel Koellerer,NA,NA,2,2,153,140
Julien Benneteau,2006,Second,Julien Benneteau,Guillermo Garcia-Lopez,23,25,27,55,108,88
Julien Benneteau,2006,First,Julien Benneteau,Marcos Daniel,25,9,14,25,72,38
Julien Benneteau,2010,First,Julien Benneteau,David Guez,NA,NA,14,10,134,130
Julien Benneteau,2012,Second,Julien Benneteau,Gilles Simon,58,55,55,40,163,165
Julien Benneteau,2012,First,Julien Benneteau,Karol Beck,6,7,3,2,98,75
Julien Benneteau,2013,Second,Julien Benneteau,Edouard Roger-Vasselin,62,62,43,57,163,152
Julien Benneteau,2013,First,Julien Benneteau,Grigor Dimitrov,6,5,2,1,100,74
Julien Benneteau,2014,First,Julien Benneteau,Pablo Carreno-Busta,49,47,46,58,152,126
Andrey Golubev,2010,First,Andrey Golubev,Mardy Fish,44,16,53,52,114,103
Andrey Golubev,2012,First,Andrey Golubev,Mikhail Youzhny,12,7,10,6,196,189
Wayne Odesnik,2010,First,Wayne Odesnik,Blaz Kavcic,NA,NA,6,8,122,93
Lukas Lacko,2010,First,Lukas Lacko,Leonardo Mayer,NA,NA,4,6,89,63
Lukas Lacko,2012,Second,Lukas Lacko,Donald Young,45,27,38,37,116,94
Lukas Lacko,2012,First,Lukas Lacko,Ivan Ljubicic,27,13,4,3,137,121
Lukas Lacko,2013,First,Lukas Lacko,Gilles Muller,12,10,4,7,108,84
Alexandr Dolgopolov,2011,Fourth,Alexandr Dolgopolov,Robin Soderling,50,34,23,51,132,111
Alexandr Dolgopolov,2011,Third,Alexandr Dolgopolov,Jo-Wilfried Tsonga,38,40,26,58,121,102
Alexandr Dolgopolov,2011,Second,Alexandr Dolgopolov,Benjamin Becker,NA,NA,NA,NA,120,88
Alexandr Dolgopolov,2011,First,Alexandr Dolgopolov,Mikhail Kukushkin,NA,NA,NA,NA,94,60
Alexandr Dolgopolov,2012,Second,Alexandr Dolgopolov,Tobias Kamke,61,30,73,63,163,143
Alexandr Dolgopolov,2012,First,Alexandr Dolgopolov,Greg Jones,46,29,34,42,119,94
Alexandr Dolgopolov,2014,First,Alexandr Dolgopolov,Richard Berankis,37,28,31,38,114,91
Milos Raonic,2011,Third,Milos Raonic,Mikhail Youzhny,64,24,54,26,123,107
Milos Raonic,2011,Second,Milos Raonic,Michael Llodra,49,25,20,20,113,90
Milos Raonic,2011,First,Milos Raonic,Bjorn Phau,NA,NA,NA,NA,115,96
Milos Raonic,2012,Second,Milos Raonic,Philipp Petzschner,47,38,38,44,136,122
Milos Raonic,2012,First,Milos Raonic,Filippo Volandri,13,0,4,5,93,60
Milos Raonic,2013,Third,Milos Raonic,Philipp Kohlschreiber,44,19,38,27,99,81
Milos Raonic,2013,Second,Milos Raonic,Lukas Rosol,18,13,6,6,102,75
Milos Raonic,2013,First,Milos Raonic,Jan Hajek,57,24,50,40,133,102
Milos Raonic,2014,Second,Milos Raonic,Victor Hanescu,63,23,36,23,116,101
Milos Raonic,2014,First,Milos Raonic,Daniel Gimeno-Traver,48,22,29,33,127,96
Robin Soderling,2004,First,Robin Soderling,Rainer Schuettler,54,47,72,45,158,155
Robin Soderling,2009,First,Robin Soderling,Robert Kendrick,NA,NA,NA,NA,132,109
Robin Soderling,2011,Third,Robin Soderling,Jan Hernych,33,8,32,32,100,67
Robin Soderling,2011,Second,Robin Soderling,Gilles Muller,30,23,15,33,92,61
Robin Soderling,2011,First,Robin Soderling,Potito Starace,47,20,18,27,89,59
Richard Berankis,2011,Second,Richard Berankis,David Nalbandian,28,5,12,21,63,26
Richard Berankis,2011,First,Richard Berankis,Marinko Matosevic,31,22,44,44,101,80
Richard Berankis,2013,Second,Richard Berankis,Florian Mayer,36,14,18,23,88,54
Richard Berankis,2013,First,Richard Berankis,Sergiy Stakhovsky,6,6,3,2,118,98
Jan Hernych,2005,First,Jan Hernych,Felix Mantilla,52,16,32,29,134,91
Jan Hernych,2006,First,Jan Hernych,Fernando Vicente,60,22,65,25,138,128
Jan Hernych,2011,Second,Jan Hernych,Thomaz Bellucci,NA,NA,NA,NA,207,192
Jan Hernych,2011,First,Jan Hernych,Denis Istomin,NA,NA,NA,NA,125,109
Guillermo Garcia-Lopez,2005,First,Guillermo Garcia-Lopez,Carlos Moya,43,31,46,49,125,113
Guillermo Garcia-Lopez,2006,First,Guillermo Garcia-Lopez,Taylor Dent,44,38,12,26,108,94
Guillermo Garcia-Lopez,2007,First,Guillermo Garcia-Lopez,Joachim Johansson,3,3,NA,NA,9,9
Guillermo Garcia-Lopez,2008,Second,Guillermo Garcia-Lopez,Alejandro Falla,NA,NA,NA,NA,162,153
Guillermo Garcia-Lopez,2008,First,Guillermo Garcia-Lopez,Juan Ignacio Chela,NA,NA,NA,NA,115,104
Guillermo Garcia-Lopez,2009,First,Guillermo Garcia-Lopez,Agustin Calleri,NA,NA,NA,NA,120,101
Guillermo Garcia-Lopez,2011,Second,Guillermo Garcia-Lopez,Eduardo Schwank,26,21,28,63,111,86
Guillermo Garcia-Lopez,2011,First,Guillermo Garcia-Lopez,Michael Berrer,NA,NA,NA,NA,129,113
Guillermo Garcia-Lopez,2014,First,Guillermo Garcia-Lopez,Tommy Haas,19,18,9,35,65,55
Kei Nishikori,2011,Second,Kei Nishikori,Florian Mayer,43,42,34,44,121,113
Kei Nishikori,2011,First,Kei Nishikori,Fabio Fognini,36,34,52,64,142,122
Kei Nishikori,2012,Fourth,Kei Nishikori,Jo-Wilfried Tsonga,37,50,30,70,141,128
Kei Nishikori,2012,Third,Kei Nishikori,Julien Benneteau,50,54,30,51,148,129
Kei Nishikori,2012,Second,Kei Nishikori,Matthew Ebden,38,31,57,54,127,126
Kei Nishikori,2012,First,Kei Nishikori,Stephane Robert,35,26,25,35,107,71
Kei Nishikori,2013,Third,Kei Nishikori,Evgeny Donskoy,29,13,33,37,111,78
Kei Nishikori,2013,Second,Kei Nishikori,Carlos Berlocq,47,24,31,40,107,81
Kei Nishikori,2013,First,Kei Nishikori,Victor Hanescu,46,29,50,38,133,111
Kei Nishikori,2014,Third,Kei Nishikori,Donald Young,30,17,27,32,93,56
Kei Nishikori,2014,Second,Kei Nishikori,Dusan Lajovic,30,17,27,49,104,68
Kei Nishikori,2014,First,Kei Nishikori,Marinko Matosevic,44,46,50,63,167,147
Robin Haase,2008,First,Robin Haase,Ivan Ljubicic,NA,NA,NA,NA,150,124
Robin Haase,2011,Second,Robin Haase,Juan Monaco,54,42,46,38,142,127
Robin Haase,2011,First,Robin Haase,Carlos Berlocq,NA,NA,NA,NA,112,92
Sergiy Stakhovsky,2011,Second,Sergiy Stakhovsky,Lukasz Kubot,31,31,22,36,98,79
Sergiy Stakhovsky,2011,First,Sergiy Stakhovsky,Daniel Brands,NA,NA,NA,NA,88,63
Sergiy Stakhovsky,2012,First,Sergiy Stakhovsky,Illya Marchenko,13,2,9,18,198,177
Xavier Malisse,2006,First,Xavier Malisse,Mikhail Youzhny,31,37,37,67,137,115
Xavier Malisse,2009,First,Xavier Malisse,Michael Llodra,NA,NA,NA,NA,102,81
Xavier Malisse,2011,Second,Xavier Malisse,Albert Montanes,NA,NA,NA,NA,93,55
Xavier Malisse,2011,First,Xavier Malisse,Pablo Andujar,NA,NA,NA,NA,92,69
Xavier Malisse,2013,First,Xavier Malisse,Pablo Andujar,6,1,0,5,95,63
Ryan Sweeting,2011,First,Ryan Sweeting,Daniel Gimeno-Traver,NA,NA,NA,NA,105,85
Ryan Sweeting,2012,First,Ryan Sweeting,Matthias Bachinger,8,4,5,4,98,75
Blaz Kavcic,2011,First,Blaz Kavcic,Kevin Anderson,NA,NA,NA,NA,134,139
Blaz Kavcic,2012,First,Blaz Kavcic,James Ward,2,7,5,3,99,78
Blaz Kavcic,2013,Second,Blaz Kavcic,James Duckworth,71,76,48,72,200,180
Blaz Kavcic,2013,First,Blaz Kavcic,Thomaz Bellucci,4,4,1,8,98,73
Blaz Kavcic,2014,First,Blaz Kavcic,Radek Stepanek,41,51,27,54,121,104
David Nalbandian,2004,Fourth,David Nalbandian,Guillermo Canas,42,11,31,28,97,63
David Nalbandian,2004,Third,David Nalbandian,Wayne Ferreira,24,21,24,32,96,73
David Nalbandian,2004,Second,David Nalbandian,Florian Mayer,31,18,31,44,104,73
David Nalbandian,2004,First,David Nalbandian,Ricardo Mello,21,13,29,34,84,54
David Nalbandian,2005,Fourth,David Nalbandian,Guillermo Coria,40,32,55,39,146,128
David Nalbandian,2005,Third,David Nalbandian,Fernando Gonzalez,46,53,37,65,159,136
David Nalbandian,2005,Second,David Nalbandian,Santiago Ventura,26,37,27,53,117,91
David Nalbandian,2005,First,David Nalbandian,David Ferrer,44,38,53,61,171,165
David Nalbandian,2006,quarter,David Nalbandian,Fabrice Santoro,47,18,17,15,90,50
David Nalbandian,2006,Fourth,David Nalbandian,Tommy Robredo,33,24,28,37,116,87
David Nalbandian,2006,Third,David Nalbandian,Jarkko Nieminen,54,33,52,39,141,121
David Nalbandian,2006,Second,David Nalbandian,Stanislas Wawrinka,26,46,46,52,136,123
David Nalbandian,2006,First,David Nalbandian,Danai Udomchoke,47,35,61,54,165,150
David Nalbandian,2007,Third,David Nalbandian,Sebastien Grosjean,63,58,57,53,183,164
David Nalbandian,2007,Second,David Nalbandian,Nicolas Lapentti,38,26,27,22,90,76
David Nalbandian,2007,First,David Nalbandian,Janko Tipsarevic,64,53,46,46,155,133
David Nalbandian,2008,Second,David Nalbandian,Peter Luczak,53,47,32,44,125,107
David Nalbandian,2008,First,David Nalbandian,Robert Smeets,21,19,24,41,99,63
David Nalbandian,2009,First,David Nalbandian,Marc Gicquel,36,32,43,51,126,107
David Nalbandian,2011,First,David Nalbandian,Lleyton Hewitt,65,53,83,62,193,193
David Nalbandian,2012,First,David Nalbandian,Jarkko Nieminen,18,14,19,21,56,46
Michael Russell,2008,First,Michael Russell,Fabio Fognini,NA,NA,NA,NA,143,120
Michael Russell,2011,First,Michael Russell,Matthew Ebden,39,52,33,76,146,134
Andreas Seppi,2007,First,Andreas Seppi,Bobby Reynolds,76,36,70,73,184,151
Andreas Seppi,2008,First,Andreas Seppi,Harel Levy,NA,NA,NA,NA,91,60
Andreas Seppi,2011,First,Andreas Seppi,Arnaud Clement,NA,NA,NA,NA,158,153
Andreas Seppi,2013,Third,Andreas Seppi,Marin Cilic,36,38,66,67,152,146
Andreas Seppi,2013,Second,Andreas Seppi,Denis Istomin,13,16,6,1,190,184
Andreas Seppi,2013,First,Andreas Seppi,Horacio Zeballos,12,6,1,2,86,62
Andreas Seppi,2014,First,Andreas Seppi,Lleyton Hewitt,67,54,59,61,175,178
Pere Riba,2011,First,Pere Riba,Carsten Ball,32,63,34,59,126,138
Pere Riba,2012,First,Pere Riba,Albert Montanes,16,2,3,7,143,145
Eduardo Schwank,2011,First,Eduardo Schwank,Leonardo Mayer,NA,NA,NA,NA,90,55
Adrian Mannarino,2011,First,Adrian Mannarino,Ryan Harrison,NA,NA,NA,NA,95,77
Adrian Mannarino,2014,First,Adrian Mannarino,Steve Johnson,3,21,3,12,142,129
Benoit Paire,2011,First,Benoit Paire,Flavio Cipolla,NA,NA,NA,NA,101,75
Benoit Paire,2014,Second,Benoit Paire,Nick Kyrgios,78,59,45,74,188,159
Benoit Paire,2014,First,Benoit Paire,Frank Dancevic,58,36,25,14,117,97
Nicolas Mahut,2007,First,Nicolas Mahut,Juan Monaco,53,23,53,44,127,106
Nicolas Mahut,2008,First,Nicolas Mahut,Jose Acasuso,NA,NA,NA,NA,177,168
Nicolas Mahut,2011,First,Nicolas Mahut,Brian Dabul,NA,NA,NA,NA,92,76
Nicolas Mahut,2012,Second,Nicolas Mahut,Tatsuma Ito,28,39,46,54,123,123
Nicolas Mahut,2012,First,Nicolas Mahut,Radek Stepanek,40,38,23,22,116,97
Grigor Dimitrov,2011,First,Grigor Dimitrov,Andrey Golubev,NA,NA,NA,NA,96,61
Grigor Dimitrov,2012,First,Grigor Dimitrov,Jeremy Chardy,41,59,38,49,148,148
Grigor Dimitrov,2014,Fourth,Grigor Dimitrov,Roberto Bautista-Agut,38,27,34,45,114,100
Grigor Dimitrov,2014,Third,Grigor Dimitrov,Milos Raonic,49,50,13,39,128,107
Grigor Dimitrov,2014,Second,Grigor Dimitrov,Yen-Hsun Lu,36,23,35,46,117,95
Grigor Dimitrov,2014,First,Grigor Dimitrov,Bradley Klahn,14,10,4,9,133,105
Frederico Gil,2011,First,Frederico Gil,Pablo Cuevas,NA,NA,NA,NA,198,184
Frederico Gil,2012,Second,Frederico Gil,Marcel Granollers,3,7,0,5,124,108
Frederico Gil,2012,First,Frederico Gil,Ivan Dodig,3,6,0,4,94,64
Mikhail Kukushkin,2012,Third,Mikhail Kukushkin,Gael Monfils,61,43,72,55,158,149
Mikhail Kukushkin,2012,Second,Mikhail Kukushkin,Viktor Troicki,48,32,56,64,154,138
Mikhail Kukushkin,2012,First,Mikhail Kukushkin,Guillermo Garcia-Lopez,5,1,0,3,90,62
Juan Ignacio Chela,2004,First,Juan Ignacio Chela,Irakli Labadze,15,55,16,58,118,108
Juan Ignacio Chela,2005,Second,Juan Ignacio Chela,Gregory Carraz,47,50,21,44,116,95
Juan Ignacio Chela,2005,First,Juan Ignacio Chela,Wayne Arthurs,37,59,4,42,119,99
Juan Ignacio Chela,2006,Third,Juan Ignacio Chela,Kristof Vliegen,19,41,16,44,101,76
Juan Ignacio Chela,2006,Second,Juan Ignacio Chela,Lleyton Hewitt,49,63,34,62,147,128
Juan Ignacio Chela,2006,First,Juan Ignacio Chela,Andy Murray,20,28,22,43,93,68
Juan Ignacio Chela,2007,Second,Juan Ignacio Chela,Jarkko Nieminen,39,34,40,33,118,107
Juan Ignacio Chela,2007,First,Juan Ignacio Chela,Potito Starace,29,33,22,31,109,95
Juan Ignacio Chela,2012,Second,Juan Ignacio Chela,Pablo Andujar,17,33,27,62,103,82
Juan Ignacio Chela,2012,First,Juan Ignacio Chela,Michael Russell,28,48,26,72,128,106
Kevin Anderson,2012,Second,Kevin Anderson,Sergiy Stakhovsky,15,10,4,4,119,107
Kevin Anderson,2012,First,Kevin Anderson,Frederik Nielsen,5,0,4,3,99,67
Kevin Anderson,2013,Third,Kevin Anderson,Fernando Verdasco,55,52,46,42,160,149
Kevin Anderson,2013,Second,Kevin Anderson,Andrey Kuznetsov,39,35,16,33,101,76
Kevin Anderson,2013,First,Kevin Anderson,Paolo Lorenzi,55,38,48,38,137,124
Kevin Anderson,2014,Third,Kevin Anderson,Edouard Roger-Vasselin,82,43,69,34,164,162
Kevin Anderson,2014,Second,Kevin Anderson,Dominic Thiem,30,28,22,21,87,69
Kevin Anderson,2014,First,Kevin Anderson,Jiri Vesely,21,16,9,10,154,154
Tatsuma Ito,2012,First,Tatsuma Ito,Potito Starace,44,29,28,32,113,102
Tatsuma Ito,2013,First,Tatsuma Ito,John Millman,37,38,102,80,153,165
Philipp Petzschner,2012,First,Philipp Petzschner,Lukas Rosol,10,7,2,5,91,48
James Duckworth,2012,First,James Duckworth,Jurgen Zopp,24,19,24,33,94,72
James Duckworth,2013,First,James Duckworth,Benjamin Mitchell,61,56,77,71,208,199
Pablo Andujar,2012,First,Pablo Andujar,Igor Kunitsyn,4,1,4,3,102,75
Pablo Andujar,2014,First,Pablo Andujar,Albert Ramos,2,2,1,3,97,77
Edouard Roger-Vasselin,2012,First,Edouard Roger-Vasselin,Xavier Malisse,6,3,0,2,53,47
Edouard Roger-Vasselin,2013,First,Edouard Roger-Vasselin,Ruben Bemelmans,15,14,10,5,204,210
Edouard Roger-Vasselin,2014,Second,Edouard Roger-Vasselin,Guillermo Garcia-Lopez,11,9,2,10,130,117
Edouard Roger-Vasselin,2014,First,Edouard Roger-Vasselin,Carlos Berlocq,6,9,6,4,163,150
Alex Jr. Bogomolov,2006,First,Alex Jr. Bogomolov,Fernando Gonzalez,53,80,55,85,195,200
Alex Jr. Bogomolov,2012,First,Alex Jr. Bogomolov,Daniel Gimeno-Traver,3,4,0,4,112,81
Matthew Ebden,2012,First,Matthew Ebden,Joao Souza,34,32,32,52,114,85
Matthew Ebden,2014,First,Matthew Ebden,Nicolas Mahut,45,49,55,57,131,137
Ricardo Mello,2005,First,Ricardo Mello,Alberto Martin,28,44,14,45,123,100
Ricardo Mello,2012,First,Ricardo Mello,Roberto Bautista-Agut,3,6,4,9,122,100
Tobias Kamke,2012,First,Tobias Kamke,Victor Hanescu,1,1,3,1,99,62
Tobias Kamke,2013,First,Tobias Kamke,Flavio Cipolla,2,1,0,6,96,64
Sam Querrey,2007,Second,Sam Querrey,Florent Serra,51,29,21,15,104,79
Sam Querrey,2007,First,Sam Querrey,Jose Acasuso,51,44,37,42,128,113
Sam Querrey,2008,Second,Sam Querrey,Dmitry Tursunov,41,44,40,62,147,131
Sam Querrey,2008,First,Sam Querrey,Olivier Rochus,NA,NA,NA,NA,111,75
Sam Querrey,2012,First,Sam Querrey,Kenny de Schepper,12,5,4,7,92,60
Sam Querrey,2013,Second,Sam Querrey,Brian Baker,17,19,18,16,47,53
Sam Querrey,2013,First,Sam Querrey,Daniel Munoz-De La Nava,56,31,43,39,130,111
Sam Querrey,2014,Second,Sam Querrey,Ernests Gulbis,30,19,21,41,88,59
Sam Querrey,2014,First,Sam Querrey,Santiago Giraldo,47,35,45,41,122,108
Carlos Berlocq,2012,First,Carlos Berlocq,Jesse Huta Galung,9,8,3,12,127,122
Carlos Berlocq,2013,First,Carlos Berlocq,Maxime Authom,10,4,9,6,141,134
Olivier Rochus,2005,Third,Olivier Rochus,Karol Beck,42,39,29,51,147,123
Olivier Rochus,2005,Second,Olivier Rochus,Gael Monfils,22,21,28,50,104,72
Olivier Rochus,2005,First,Olivier Rochus,Nicolas Kiefer,48,62,38,64,149,138
Olivier Rochus,2006,First,Olivier Rochus,Michael Llodra,31,38,7,30,89,62
Olivier Rochus,2007,First,Olivier Rochus,Chris Guccione,70,89,21,59,196,180
Olivier Rochus,2012,First,Olivier Rochus,Bjorn Phau,7,2,1,4,87,44
Flavio Cipolla,2009,First,Flavio Cipolla,Dmitry Tursunov,NA,NA,NA,NA,161,156
Flavio Cipolla,2012,First,Flavio Cipolla,Nikolay Davydenko,2,3,6,8,144,129
Jeremy Chardy,2009,First,Jeremy Chardy,Marcos Daniel,NA,NA,NA,NA,100,69
Jeremy Chardy,2013,Fourth,Jeremy Chardy,Andreas Seppi,47,34,42,44,133,110
Jeremy Chardy,2013,Third,Jeremy Chardy,Juan Martin Del Potro,78,36,64,35,157,151
Jeremy Chardy,2013,Second,Jeremy Chardy,Marcel Granollers,45,18,40,19,112,86
Jeremy Chardy,2013,First,Jeremy Chardy,Adrian Menendez-Maceiras,21,12,8,4,146,119
Jeremy Chardy,2014,Second,Jeremy Chardy,Alexandr Dolgopolov,76,43,73,36,164,160
Evgeny Donskoy,2013,Second,Evgeny Donskoy,Mikhail Youzhny,20,4,1,4,162,151
Evgeny Donskoy,2013,First,Evgeny Donskoy,Adrian Ungur,12,3,3,5,108,82
Jerzy Janowicz,2013,Second,Jerzy Janowicz,Somdev Devvarman,91,33,88,20,172,157
Jerzy Janowicz,2013,First,Jerzy Janowicz,Simone Bolelli,31,23,38,44,108,89
Jerzy Janowicz,2014,Second,Jerzy Janowicz,Pablo Andujar,63,57,47,28,151,149
Jerzy Janowicz,2014,First,Jerzy Janowicz,Jordan Thompson,62,40,64,36,153,140
Amir Weintraub,2013,First,Amir Weintraub,Guido Pella,12,6,2,2,109,86
Jesse Levine,2008,First,Jesse Levine,Martin Vassallo Arguello,NA,NA,NA,NA,94,63
Jesse Levine,2013,First,Jesse Levine,Tommy Robredo,5,14,7,3,142,146
Daniel Brands,2013,First,Daniel Brands,Martin Klizan,14,13,2,1,105,89
Lukas Rosol,2013,First,Lukas Rosol,Jamie Baker,9,8,2,1,110,94
Go Soeda,2013,First,Go Soeda,Luke Saville,38,41,36,54,142,108
Joao Sousa,2013,First,Joao Sousa,John-Patrick Smith,4,2,4,1,97,73
Rajeev Ram,2013,First,Rajeev Ram,Guillermo Garcia-Lopez,11,12,1,4,125,109
Somdev Devvarman,2013,First,Somdev Devvarman,Bjorn Phau,4,2,1,2,97,75
Tim Smyczek,2013,First,Tim Smyczek,Ivo Karlovic,4,16,2,4,113,101
Ryan Harrison,2013,First,Ryan Harrison,Santiago Giraldo,29,42,46,55,128,119
Andrey Kuznetsov,2013,First,Andrey Kuznetsov,Juan Monaco,28,9,49,46,101,72
Roberto Bautista-Agut,2013,First,Roberto Bautista-Agut,Fabio Fognini,1,6,7,5,134,117
Roberto Bautista-Agut,2014,Third,Roberto Bautista-Agut,Benoit Paire,21,31,23,59,96,65
Roberto Bautista-Agut,2014,Second,Roberto Bautista-Agut,Juan Martin Del Potro,72,53,59,41,162,152
Roberto Bautista-Agut,2014,First,Roberto Bautista-Agut,Tim Smyczek,1,8,1,5,95,55
